Tmt#,MC#,R_1,R_2,R_3,\theta_3,m_1,m_2,m_3,v_3,N/A,Escape (0.5),Collide (0.5)
1,1,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,2,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,3,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,4,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,5,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,6,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,7,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,8,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,9,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,10,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,11,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,12,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,13,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,14,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,15,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
1,16,2.55,2.55,2.55,0.785398163397448,25.04,25.04,25.04,3.14159265358979,1,0,0
2,1,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,2,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,3,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,4,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,5,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,6,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,7,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,8,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,9,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,10,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,11,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,12,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,13,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,14,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,15,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
2,16,3.30637583892617,3.99697986577181,2.0238255033557,0.205574015922822,6.27812080536912,4.93798657718121,4.60295302013423,2.65664882115647,1,0,0
3,1,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,2,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,3,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,4,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,5,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,6,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,7,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,8,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,9,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,10,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
3,11,2.45134228187919,0.543959731543624,3.76677852348993,0.226658530376445,9.29342281879195,7.95328859060403,41.121610738255,3.58436745711587,1,0,0
